Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
maglietta-cotone-bio,Maglietta cotone bio,<p>Maglietta unisex in cotone biologico pettinato. Vestibilità regular, collo rotondo. Ideale per look casual e layering.</p>,Vestito Napoli,Maglieria,"SS26, basic, unisex, cotone",TRUE,Taglia,S,Colore,Bianco,,,DEMO-TSH-WHT-S,180,shopify,12,deny,manual,24.90,34.90,TRUE,TRUE,8001234567890,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Maglietta bianca fronte,1,FALSE,Maglietta cotone bio | Vestito Napoli,Maglietta in cotone biologico unisex. Disponibile in più colori e taglie.,Apparel & Accessories > Clothing > Shirts & Tops,unisex,adult,DEMO-TSH-001,Maglieria SS26,basic,new,FALSE,SS26,Maglieria,,,,,g,,,19.50,active
maglietta-cotone-bio,,,,,,,,M,,Bianco,,,DEMO-TSH-WHT-M,,,8,,,24.90,34.90,,,8001234567891,,,,,,,,,,,,,,,,,,,,,,,,,
maglietta-cotone-bio,,,,,,,,L,,Bianco,,,DEMO-TSH-WHT-L,,,5,,,24.90,34.90,,,8001234567892,,,,,,,,,,,,,,,,,,,,,,,,,
maglietta-cotone-bio,,,,,,,,S,,Navy,,,DEMO-TSH-NVY-S,,,10,,,24.90,34.90,,,8001234567893,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?w=800,Maglietta navy,2,,,,,,,,,,,,,,,,,,,,,,,
maglietta-cotone-bio,,,,,,,,M,,Navy,,,DEMO-TSH-NVY-M,,,7,,,24.90,34.90,,,8001234567894,,,,,,,,,,,,,,,,,,,,,,,,,
maglietta-cotone-bio,,,,,,,,L,,Navy,,,DEMO-TSH-NVY-L,,,4,,,24.90,34.90,,,8001234567895,,,,,,,,,,,,,,,,,,,,,,,,,
pantalone-chino-slim,Pantalone chino slim,<p>Pantalone chino slim fit in twill di cotone. Vita media con passanti cintura e tasche oblique.</p>,Marino Moda,Pantaloni,"SS26, chino, uomo",TRUE,Taglia,46,,,,,DEMO-CHN-46,420,shopify,6,deny,manual,59.90,79.90,TRUE,TRUE,8002234567890,https://images.unsplash.com/photo-1473966968600-fa801b069a0a?w=800,Pantalone chino beige,1,FALSE,Pantalone chino slim fit uomo,Pantalone chino slim in cotone. Taglie 46-50.,Apparel & Accessories > Clothing > Pants,male,adult,DEMO-CHN-001,Pantaloni SS26,chino,new,FALSE,SS26,Pantaloni,,,,,g,,,38.00,active
pantalone-chino-slim,,,,,,,,48,,,,,DEMO-CHN-48,,,4,,,59.90,79.90,,,8002234567891,,,,,,,,,,,,,,,,,,,,,,,,,
pantalone-chino-slim,,,,,,,,50,,,,,DEMO-CHN-50,,,3,,,59.90,79.90,,,8002234567892,,,,,,,,,,,,,,,,,,,,,,,,,
giacca-denim-moon,Giacca denim Moon,<p>Giacca denim medio peso con lavaggio stone wash. Chiusura a bottoni e taschini petto.</p>,Vestito Napoli,Giacche,"SS26, denim, donna",TRUE,Title,Default Title,,,,,DEMO-DNM-MOON,650,shopify,15,deny,manual,89.90,119.90,TRUE,TRUE,8003234567890,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=800,Giacca denim lavaggio chiaro,1,FALSE,Giacca denim Moon donna,Giacca denim stone wash. Pezzo unico taglia unica strutturata.,Apparel & Accessories > Clothing > Outerwear,female,adult,DEMO-DNM-001,Giacche SS26,denim,new,FALSE,SS26,Giacche,,,,,g,,,52.00,active
abito-lino-verde,Abito lino verde salvia,<p>Abito midi in lino misto con scollo a V e cintura removibile. Perfetto per cerimonie estive.</p>,Linea Mediterranea,Abiti,"SS26, lino, cerimonia, donna",TRUE,Taglia,38,,,,,DEMO-DRS-38,380,shopify,3,deny,manual,129.90,169.90,TRUE,TRUE,8004234567890,https://images.unsplash.com/photo-1595777457583-95e059ee5818?w=800,Abito verde salvia,1,FALSE,Abito lino verde salvia,Abito midi in lino per la stagione calda. Taglie 38-42.,Apparel & Accessories > Clothing > Dresses,female,adult,DEMO-DRS-001,Abiti SS26,lino,new,FALSE,SS26,Abiti,,,,,g,,,72.00,active
abito-lino-verde,,,,,,,,40,,,,,DEMO-DRS-40,,,2,,,129.90,169.90,,,8004234567891,https://images.unsplash.com/photo-1566174053879-31528523f8ae?w=800,Dettaglio abito lino,2,,,,,,,,,,,,,,,,,,,,,,,
abito-lino-verde,,,,,,,,42,,,,,DEMO-DRS-42,,,2,,,129.90,169.90,,,8004234567892,,,,,,,,,,,,,,,,,,,,,,,,,
sciarpa-alpaca-are,Sciarpa alpaca Are,<p>Sciarpa morbida in misto alpaca e lana merino. Motivo righe sottili ton sur ton.</p>,Nordica Accessori,Accessori,"autunno, sciarpa, lana",TRUE,Title,Default Title,,,,,DEMO-SCF-ARE,220,shopify,20,deny,manual,39.90,49.90,TRUE,TRUE,8005234567890,https://images.unsplash.com/photo-1520903920243-00d872a2bd1c?w=800,Sciarpa righe grigio,1,FALSE,Sciarpa alpaca Are,Sciarpa in misto alpaca. Calda e leggera.,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,unisex,adult,DEMO-SCF-001,Accessori autunno,sciarpa,new,FALSE,FW25,Accessori,,,,,g,,,18.00,active
cappello-feltro-class,Cappello feltro classico,<p>Cappello a tesa media in feltro di lana. Fodera in cotone e nastro gros-grain.</p>,Marino Moda,Accessori,"autunno, cappello, uomo",TRUE,Taglia,S,,,,,DEMO-HAT-S,280,shopify,8,deny,manual,54.90,69.90,TRUE,TRUE,8006234567890,https://images.unsplash.com/photo-1514327608662-7bbc6cab65bf?w=800,Cappello feltro marrone,1,FALSE,Cappello feltro classico,Cappello in feltro di lama. Taglie S e M.,Apparel & Accessories > Clothing Accessories > Hats,male,adult,DEMO-HAT-001,Accessori autunno,cappello,new,FALSE,FW25,Accessori,,,,,g,,,28.00,active
cappello-feltro-class,,,,,,,,M,,,,,DEMO-HAT-M,,,5,,,54.90,69.90,,,8006234567891,,,,,,,,,,,,,,,,,,,,,,,,,
borsa-pelle-cognac,Borsa pelle cognac,<p>Borsa a tracolla in pelle conciata al vegetale. Chiusura magnetica e scomparto interno zip.</p>,Pelletteria Vesuvio,Borse,"SS26, pelle, donna",TRUE,Title,Default Title,,,,,DEMO-BAG-COG,480,shopify,6,deny,manual,149.90,189.90,TRUE,TRUE,8007234567890,https://images.unsplash.com/photo-1548039186-c3f6f7f1f6b5?w=800,Borsa cognac tracolla,1,FALSE,Borsa pelle cognac tracolla,Borsa in pelle conciata al vegetale colore cognac.,Apparel & Accessories > Handbags,female,adult,DEMO-BAG-001,Borse SS26,pelle,new,FALSE,SS26,Borse,,,,,g,,,85.00,active
sneaker-vintage-run,Sneaker vintage run,<p>Sneaker ispirazione running anni 80. Suola in gomma e tomaia in suede e mesh.</p>,Urban Step,Calzature,"SS26, sneaker, unisex",TRUE,Taglia,40,,,,,DEMO-SNK-40,520,shopify,4,deny,manual,79.90,99.90,TRUE,TRUE,8008234567890,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,Sneaker rossa laterale,1,FALSE,Sneaker vintage run unisex,Sneaker retro running. Taglie 40-43.,Apparel & Accessories > Shoes,unisex,adult,DEMO-SNK-001,Calzature SS26,sneaker,new,FALSE,SS26,Calzature,,,,,g,,,42.00,active
sneaker-vintage-run,,,,,,,,41,,,,,DEMO-SNK-41,,,5,,,79.90,99.90,,,8008234567891,,,,,,,,,,,,,,,,,,,,,,,,,
sneaker-vintage-run,,,,,,,,42,,,,,DEMO-SNK-42,,,6,,,79.90,99.90,,,8008234567892,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=800,Sneaker verde dettaglio,2,,,,,,,,,,,,,,,,,,,,,,,
sneaker-vintage-run,,,,,,,,43,,,,,DEMO-SNK-43,,,3,,,79.90,99.90,,,8008234567893,,,,,,,,,,,,,,,,,,,,,,,,,
cardigan-cashmere-mel,Cardigan cashmere melange,<p>Cardigan in cashmere fine gauge con bottoni corno. Colore melange antracite.</p>,Vestito Napoli,Maglieria,"autunno, cashmere, donna",TRUE,Taglia,S,,,,,DEMO-CRD-S,310,shopify,4,deny,manual,119.90,149.90,TRUE,TRUE,8009234567890,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=800,Cardigan melange,1,FALSE,Cardigan cashmere melange,Cardigan in cashmere fine. Taglie S-L.,Apparel & Accessories > Clothing > Sweaters,female,adult,DEMO-CRD-001,Maglieria FW25,cashmere,new,FALSE,FW25,Maglieria,,,,,g,,,68.00,active
cardigan-cashmere-mel,,,,,,,,M,,,,,DEMO-CRD-M,,,3,,,119.90,149.90,,,8009234567891,,,,,,,,,,,,,,,,,,,,,,,,,
cardigan-cashmere-mel,,,,,,,,L,,,,,DEMO-CRD-L,,,2,,,119.90,149.90,,,8009234567892,,,,,,,,,,,,,,,,,,,,,,,,,
camicia-lino-oxford,Camicia lino Oxford,<p>Camicia regular in lino Oxford traspirante. Colletto classico e polsini singoli.</p>,Linea Mediterranea,Camicie,"SS26, lino, uomo",TRUE,Colore,Bianco,,,,,DEMO-SHT-WHT,290,shopify,9,deny,manual,69.90,89.90,TRUE,TRUE,8010234567890,https://images.unsplash.com/photo-1596755094514-f87e34085b2b?w=800,Camicia bianca lino,1,FALSE,Camicia lino Oxford uomo,Camicia in lino Oxford. Bianco e azzurro.,Apparel & Accessories > Clothing > Shirts & Tops,male,adult,DEMO-SHT-001,Camicie SS26,lino,new,FALSE,SS26,Camicie,,,,,g,,,38.00,active
camicia-lino-oxford,,,,,,,,Azzurro,,,,,DEMO-SHT-BLU,,,7,,,69.90,89.90,,,8010234567891,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=800,Camicia azzurra lino,2,,,,,,,,,,,,,,,,,,,,,,,
gilet-maglia-rib,Gilet maglia a coste,<p>Gilet senza maniche in maglia a coste larghe. Perfetto sopra camicia o t-shirt.</p>,Marino Moda,Maglieria,"SS26, gilet, unisex",TRUE,Title,Default Title,,,,,DEMO-VST-RIB,240,shopify,11,deny,manual,49.90,64.90,TRUE,TRUE,8011234567890,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=800,Gilet coste beige,1,FALSE,Gilet maglia a coste,Gilet in maglia a coste senza maniche.,Apparel & Accessories > Clothing > Sweaters,unisex,adult,DEMO-VST-001,Maglieria SS26,gilet,new,FALSE,SS26,Maglieria,,,,,g,,,24.00,active
stola-seta-aurora,Stola seta Aurora,<p>Stola leggera in seta stampata motivo floreale. Finiture a mano sul bordo.</p>,Pelletteria Vesuvio,Accessori,"SS26, seta, cerimonia, donna",TRUE,Title,Default Title,,,,,DEMO-STL-AUR,150,shopify,8,deny,manual,44.90,59.90,TRUE,TRUE,8012234567890,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=800,Stola seta floreale,1,FALSE,Stola seta Aurora,Stola in seta stampata per cerimonie e eventi.,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,female,adult,DEMO-STL-001,Accessori SS26,seta,new,FALSE,SS26,Accessori,,,,,g,,,20.00,active
cintura-pelle-saffiano,Cintura pelle Saffiano,<p>Cintura in pelle Saffiano con fibbia metallica spazzolata. Larghezza 3 cm.</p>,Pelletteria Vesuvio,Accessori,"SS26, cintura, unisex",TRUE,Taglia,85,,,,,DEMO-BLT-85,180,shopify,10,deny,manual,34.90,44.90,TRUE,TRUE,8013234567890,https://images.unsplash.com/photo-1624222247344-550fb60583fd?w=800,Cintura nera Saffiano,1,FALSE,Cintura pelle Saffiano,Cintura in pelle Saffiano. Taglie 85-105 cm.,Apparel & Accessories > Clothing Accessories > Belts,unisex,adult,DEMO-BLT-001,Accessori SS26,cintura,new,FALSE,SS26,Accessori,,,,,g,,,14.00,active
cintura-pelle-saffiano,,,,,,,,95,,,,,DEMO-BLT-95,,,8,,,34.90,44.90,,,8013234567891,,,,,,,,,,,,,,,,,,,,,,,,,
cintura-pelle-saffiano,,,,,,,,105,,,,,DEMO-BLT-105,,,5,,,34.90,44.90,,,8013234567892,,,,,,,,,,,,,,,,,,,,,,,,,
